date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:44	335317/335317	---M--	200	added ('OK')	image/png	etag:%22697865d8-51dd5%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/defult_studentapp-6f360b5b786211f9e9a2270d4237ab96.png	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/defult_studentapp-6f360b5b786211f9e9a2270d4237ab96.png	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/faqs/)
10:47:44	17577/17577	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-44a9%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/version-compatibility/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/version-compatibility/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/overview/)
10:47:45	50512/50512	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-c550%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/staff-attendance/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/staff-attendance/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/intro/)
10:47:45	34283/34283	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-85eb%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/student-diary/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/student-diary/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/intro/)
10:47:45	76927/76927	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-12c7f%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/transportation-module/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/transportation-module/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/intro/)
10:47:45	342319/342319	---M--	200	added ('OK')	image/png	etag:%22697865d8-5392f%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/defult_staffapp-7d6a88125d381273bede000720caf2c2.png	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/defult_staffapp-7d6a88125d381273bede000720caf2c2.png	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/faqs/)
10:47:46	16706/16706	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-4142%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/features/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/features/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/intro/)
10:47:46	81154/81154	---M--	200	added ('OK')	image/png	etag:%22697865d8-13d02%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/bulk-mcq-question-8f31b15287a3f8b6bac9c1b2cca94e90.png	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/bulk-mcq-question-8f31b15287a3f8b6bac9c1b2cca94e90.png	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/changelog/)
10:47:46	15464/15464	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-3c68%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/authentication/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/authentication/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/intro/)
10:47:46	15210/15210	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-3b6a%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/dashboard/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/dashboard/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/intro/)
